"","Var1","Var2","Freq"
"1","","     ID","Length:5          "
"2","","     ID","Class :character  "
"3","","     ID","Mode  :character  "
"4","","     ID",NA
"5","","     ID",NA
"6","","     ID",NA
"7","","Description","Length:5          "
"8","","Description","Class :character  "
"9","","Description","Mode  :character  "
"10","","Description",NA
"11","","Description",NA
"12","","Description",NA
"13",""," GeneRatio","Length:5          "
"14",""," GeneRatio","Class :character  "
"15",""," GeneRatio","Mode  :character  "
"16",""," GeneRatio",NA
"17",""," GeneRatio",NA
"18",""," GeneRatio",NA
"19","","  BgRatio","Length:5          "
"20","","  BgRatio","Class :character  "
"21","","  BgRatio","Mode  :character  "
"22","","  BgRatio",NA
"23","","  BgRatio",NA
"24","","  BgRatio",NA
"25","","    pvalue","Min.   :0.000e+00  "
"26","","    pvalue","1st Qu.:8.000e-21  "
"27","","    pvalue","Median :1.851e-18  "
"28","","    pvalue","Mean   :6.099e-16  "
"29","","    pvalue","3rd Qu.:1.202e-16  "
"30","","    pvalue","Max.   :2.927e-15  "
"31","","   p.adjust","Min.   :0.000e+00  "
"32","","   p.adjust","1st Qu.:2.500e-18  "
"33","","   p.adjust","Median :3.776e-16  "
"34","","   p.adjust","Mean   :7.542e-14  "
"35","","   p.adjust","3rd Qu.:1.840e-14  "
"36","","   p.adjust","Max.   :3.583e-13  "
"37","","    qvalue","Min.   :0.000e+00  "
"38","","    qvalue","1st Qu.:1.790e-18  "
"39","","    qvalue","Median :2.754e-16  "
"40","","    qvalue","Mean   :5.500e-14  "
"41","","    qvalue","3rd Qu.:1.342e-14  "
"42","","    qvalue","Max.   :2.613e-13  "
"43","","   geneID","Length:5          "
"44","","   geneID","Class :character  "
"45","","   geneID","Mode  :character  "
"46","","   geneID",NA
"47","","   geneID",NA
"48","","   geneID",NA
"49","","    Count","Min.   : 44  "
"50","","    Count","1st Qu.: 48  "
"51","","    Count","Median : 57  "
"52","","    Count","Mean   : 90  "
"53","","    Count","3rd Qu.:101  "
"54","","    Count","Max.   :200  "
