"","Var1","Var2","Freq"
"1","","     ID","Length:5          "
"2","","     ID","Class :character  "
"3","","     ID","Mode  :character  "
"4","","     ID",NA
"5","","     ID",NA
"6","","     ID",NA
"7","","Description","Length:5          "
"8","","Description","Class :character  "
"9","","Description","Mode  :character  "
"10","","Description",NA
"11","","Description",NA
"12","","Description",NA
"13",""," GeneRatio","Length:5          "
"14",""," GeneRatio","Class :character  "
"15",""," GeneRatio","Mode  :character  "
"16",""," GeneRatio",NA
"17",""," GeneRatio",NA
"18",""," GeneRatio",NA
"19","","  BgRatio","Length:5          "
"20","","  BgRatio","Class :character  "
"21","","  BgRatio","Mode  :character  "
"22","","  BgRatio",NA
"23","","  BgRatio",NA
"24","","  BgRatio",NA
"25","","    pvalue","Min.   :0.000e+00  "
"26","","    pvalue","1st Qu.:8.700e-22  "
"27","","    pvalue","Median :9.059e-19  "
"28","","    pvalue","Mean   :9.838e-18  "
"29","","    pvalue","3rd Qu.:1.781e-18  "
"30","","    pvalue","Max.   :4.650e-17  "
"31","","   p.adjust","Min.   :0.000e+00  "
"32","","   p.adjust","1st Qu.:5.030e-19  "
"33","","   p.adjust","Median :3.476e-16  "
"34","","   p.adjust","Mean   :2.313e-15  "
"35","","   p.adjust","3rd Qu.:5.124e-16  "
"36","","   p.adjust","Max.   :1.070e-14  "
"37","","    qvalue","Min.   :0.000e+00  "
"38","","    qvalue","1st Qu.:3.980e-19  "
"39","","    qvalue","Median :2.750e-16  "
"40","","    qvalue","Mean   :1.830e-15  "
"41","","    qvalue","3rd Qu.:4.053e-16  "
"42","","    qvalue","Max.   :8.468e-15  "
"43","","   geneID","Length:5          "
"44","","   geneID","Class :character  "
"45","","   geneID","Mode  :character  "
"46","","   geneID",NA
"47","","   geneID",NA
"48","","   geneID",NA
"49","","    Count","Min.   :35.0  "
"50","","    Count","1st Qu.:64.0  "
"51","","    Count","Median :75.0  "
"52","","    Count","Mean   :71.8  "
"53","","    Count","3rd Qu.:90.0  "
"54","","    Count","Max.   :95.0  "
