"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","extracellular structure organization","146/2619","377/21261",1.25015221661944e-39,7.74844343860732e-36,5.55725559029886e-36,"PHLDB1/TNFRSF1B/IBSP/TLL1/GPM6B/ELN/COL23A1/FOXC1/COL11A1/TIE1/TNFRSF1A/BCL3/NTN4/FBLN1/ITGA8/COL5A3/COL4A4/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/TGFB2/TLL2/MMP11/PAPLN/CST3/RGCC/MMP15/FOXF1/TGFB1/CAV2/CAV1/PLOD3/ECM2/ENG/SPOCK2/COL1A1/VTN/COL12A1/NR2E1/SMOC2/LOX/COL7A1/TNR/NID1/TGFBI/TEX14/FMOD/MMP19/SOX9/BMP2/LOXL1/PXDN/COL5A1/GFAP/MATN3/MATN2/POSTN/MYH11/SPINK5/LOXL2/COL4A2/ADAMTS8/LAMC1/LCP1/IL6/CTSV/FOXF2/MMP7/EMILIN1/LOXL4/ADAMTS14/PRDM5/COL2A1/FBLN5/ADAMTS17/ADAMTS18/ADAMTS10/CCN1/HMCN1/ADAMTSL4/COL8A1/ADAMTS16/CSGALNACT1/NOTCH1/SERPINH1/ITGB1/ADAMTS12/DMP1/WNT3A/ADAMTS5/ADAMTS3/ADAMTSL3/MMP14/MYO1E/CREB3L1/RUNX1/PDPN/DDR2/OLFML2B/ADAMTS9/MELTF/EGFLAM/COL1A2/TNFRSF11B/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/SPINT2/BMP1/NPNT/COL4A3/ANTXR1/HAS2/COL24A1/RXFP1/COL8A2/ANGPTL7/LAMB2/ADAMTS20/NDNF/FOXC2/ADAMTSL1/VWA1/ANXA2/OLFML2A/ADAMTSL5/COL4A1/SULF2/LAMA2/COL13A1/COL4A6/COLGALT2/EGFL6/COL11A2/COL5A2/C6orf15/VIT/COLQ/COL28A1/ZNF469",146
"GO:0045229","external encapsulating structure organization","146/2619","379/21261",2.5809985393055e-39,7.99851447330774e-36,5.73660885867743e-36,"PHLDB1/TNFRSF1B/IBSP/TLL1/GPM6B/ELN/COL23A1/FOXC1/COL11A1/TIE1/TNFRSF1A/BCL3/NTN4/FBLN1/ITGA8/COL5A3/COL4A4/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/TGM1/TGFB2/TLL2/MMP11/PAPLN/CST3/RGCC/MMP15/FOXF1/TGFB1/CAV2/CAV1/PLOD3/ECM2/ENG/SPOCK2/COL1A1/VTN/COL12A1/NR2E1/SMOC2/LOX/COL7A1/TNR/NID1/TGFBI/FMOD/MMP19/SOX9/BMP2/LOXL1/PXDN/COL5A1/GFAP/MATN3/MATN2/POSTN/MYH11/SPINK5/LOXL2/COL4A2/ADAMTS8/LAMC1/LCP1/IL6/CTSV/FOXF2/MMP7/EMILIN1/LOXL4/ADAMTS14/PRDM5/COL2A1/FBLN5/ADAMTS17/ADAMTS18/ADAMTS10/CCN1/HMCN1/ADAMTSL4/COL8A1/ADAMTS16/CSGALNACT1/NOTCH1/SERPINH1/ITGB1/ADAMTS12/DMP1/WNT3A/ADAMTS5/ADAMTS3/ADAMTSL3/MMP14/MYO1E/CREB3L1/RUNX1/PDPN/DDR2/OLFML2B/ADAMTS9/MELTF/EGFLAM/COL1A2/TNFRSF11B/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/SPINT2/BMP1/NPNT/COL4A3/ANTXR1/HAS2/COL24A1/RXFP1/COL8A2/ANGPTL7/LAMB2/ADAMTS20/NDNF/FOXC2/ADAMTSL1/VWA1/ANXA2/OLFML2A/ADAMTSL5/COL4A1/SULF2/LAMA2/COL13A1/COL4A6/COLGALT2/EGFL6/COL11A2/COL5A2/C6orf15/VIT/COLQ/COL28A1/ZNF469",146
"GO:0030198","extracellular matrix organization","145/2619","376/21261",4.09491798455419e-39,8.46010055608895e-36,6.06766268377977e-36,"PHLDB1/TNFRSF1B/IBSP/TLL1/GPM6B/ELN/COL23A1/FOXC1/COL11A1/TIE1/TNFRSF1A/BCL3/NTN4/FBLN1/ITGA8/COL5A3/COL4A4/COL19A1/COL16A1/B4GALT1/ADAMTS2/MMP2/NID2/LAMB1/TGFB2/TLL2/MMP11/PAPLN/CST3/RGCC/MMP15/FOXF1/TGFB1/CAV2/CAV1/PLOD3/ECM2/ENG/SPOCK2/COL1A1/VTN/COL12A1/NR2E1/SMOC2/LOX/COL7A1/TNR/NID1/TGFBI/FMOD/MMP19/SOX9/BMP2/LOXL1/PXDN/COL5A1/GFAP/MATN3/MATN2/POSTN/MYH11/SPINK5/LOXL2/COL4A2/ADAMTS8/LAMC1/LCP1/IL6/CTSV/FOXF2/MMP7/EMILIN1/LOXL4/ADAMTS14/PRDM5/COL2A1/FBLN5/ADAMTS17/ADAMTS18/ADAMTS10/CCN1/HMCN1/ADAMTSL4/COL8A1/ADAMTS16/CSGALNACT1/NOTCH1/SERPINH1/ITGB1/ADAMTS12/DMP1/WNT3A/ADAMTS5/ADAMTS3/ADAMTSL3/MMP14/MYO1E/CREB3L1/RUNX1/PDPN/DDR2/OLFML2B/ADAMTS9/MELTF/EGFLAM/COL1A2/TNFRSF11B/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/SPINT2/BMP1/NPNT/COL4A3/ANTXR1/HAS2/COL24A1/RXFP1/COL8A2/ANGPTL7/LAMB2/ADAMTS20/NDNF/FOXC2/ADAMTSL1/VWA1/ANXA2/OLFML2A/ADAMTSL5/COL4A1/SULF2/LAMA2/COL13A1/COL4A6/COLGALT2/EGFL6/COL11A2/COL5A2/C6orf15/VIT/COLQ/COL28A1/ZNF469",145
"GO:0061448","connective tissue development","107/2619","302/21261",1.43703472968927e-25,2.22668531365352e-22,1.59699938512573e-22,"SCIN/NR1H4/CD44/CHRDL2/COL11A1/DGAT2/EVC/FOSL2/RARB/EDN1/MEF2C/PDGFB/TIMP1/FGF9/TGFB1/OGN/GATA3/ACTA2/COL1A1/NKX3-2/PPARGC1A/MDK/SOX6/TRPV4/MGP/BMP5/GPLD1/LOX/EFEMP1/DLX2/PRRX1/CCN2/SATB2/MSX2/TGFBI/SNAI1/RUNX2/BMP4/SOX9/BMP2/TWSG1/FOXA1/COL5A1/RARA/MATN3/PPARG/CHI3L1/LOXL2/HMGCS2/WNT2B/CNMD/PRKG2/BMPR1B/COL2A1/CCN1/WNT9A/OSR1/GDF7/CSGALNACT1/RSPO2/CER1/NOTCH1/ZEB1/SERPINH1/HMGA2/ADAMTS12/POU4F2/BMP3/BMP6/WNT7A/SLC26A2/FGF18/GDF6/STC1/RUNX1/NPR2/IL6R/FRZB/NPPC/TGFBR2/UNCX/SERPINB7/GREM1/LTBP3/BMP1/SHOX2/THBS3/WNT10B/SIX2/CYTL1/RXFP1/RARG/CD34/LPL/PLAAT3/FOXC2/BGN/RFLNB/NOG/HYAL3/SULF2/ARID5A/ANXA6/HES5/COL11A2/EBF2/FOXD1",107
"GO:0051216","cartilage development","85/2619","222/21261",3.69810095123574e-23,4.58416593915182e-20,3.28780638254074e-20,"SCIN/CD44/CHRDL2/COL11A1/EVC/FOSL2/RARB/EDN1/MEF2C/TIMP1/FGF9/TGFB1/OGN/GATA3/COL1A1/NKX3-2/MDK/SOX6/TRPV4/MGP/BMP5/GPLD1/EFEMP1/DLX2/PRRX1/CCN2/SATB2/MSX2/TGFBI/SNAI1/RUNX2/BMP4/SOX9/BMP2/TWSG1/RARA/MATN3/CHI3L1/LOXL2/WNT2B/CNMD/PRKG2/BMPR1B/COL2A1/CCN1/WNT9A/OSR1/CSGALNACT1/RSPO2/CER1/ZEB1/SERPINH1/HMGA2/ADAMTS12/BMP3/BMP6/WNT7A/SLC26A2/FGF18/GDF6/STC1/RUNX1/NPR2/FRZB/NPPC/TGFBR2/UNCX/GREM1/LTBP3/BMP1/SHOX2/THBS3/WNT10B/SIX2/CYTL1/RARG/BGN/RFLNB/NOG/HYAL3/SULF2/ARID5A/ANXA6/HES5/COL11A2",85
"GO:0072001","renal system development","110/2619","345/21261",5.18867856078413e-22,5.35990495329e-19,3.84417360740199e-19,"CYP26B1/PLXND1/ITGA3/CRLF1/PROM1/TFAP2B/WWTR1/FOXC1/TRAF3IP2/PRDM1/FGFR2/NOTCH3/PAX2/RARB/ITGA8/TP73/COL4A4/MEF2C/LRP2/ANGPT2/TGFB2/CYP26A1/PCSK5/NRP1/PDGFB/FOXF1/EYA1/CALB1/SFRP1/GATA3/ACTA2/SIM1/PTK7/TBX18/ACVR2B/NID1/PROX1/RDH10/SDC4/WNT1/BMP4/SOX9/BMP2/WNK4/SIX1/LIF/FOXJ1/LAMA5/RARA/SERPINF1/HMGCS2/WNT2B/EPHA7/TFAP2A/STRA6/PLCE1/RBP4/FRAS1/ENPEP/IQGAP1/OSR1/SLIT2/ADAMTS16/CER1/NOTCH1/KIRREL3/BCL2L11/BMP6/HS3ST3A1/ANGPT1/GDF6/MYO1E/WNT9B/IL6R/KIF26B/TIPARP/KLF15/HEYL/HPGD/DACT2/SHH/RET/FBN1/SERPINB7/GREM1/NKX3-1/GDNF/NPNT/COL4A3/EMX2/IRX2/SIX2/PKHD1/HAS2/LAMB2/CD34/FOXC2/GCNT4/IRX3/NOG/ROBO2/COL4A1/SULF2/PDGFA/SLC22A6/HES5/POU3F3/LGR4/FOXD1/LHX1",110
"GO:0031589","cell-substrate adhesion","121/2619","403/21261",1.32430788840723e-21,1.172580041764e-18,8.40985295149434e-19,"ITGA3/ITGA2B/CD44/VCL/GPM6B/VAMP3/SLK/ACTN1/LIMS2/NTN4/ACTN2/FBLN1/ITGA8/COL5A3/COL16A1/FAT2/TRIP6/NID2/CASS4/SIGLEC1/PXN/LAMB1/ITGA6/ANGPT2/SORBS1/NRP1/PDGFB/FOXF1/SFRP1/SERPINE1/ECM2/SPOCK2/COL1A1/VTN/BST1/MDK/VWF/NEDD9/DUSP22/BCL6/ITGA4/NID1/GBP1/CCN2/PLAU/PREX1/SDC4/WNT1/CCR7/RRAS/KDR/AJUBA/ACTN4/LAMA5/PPFIA1/ITGB4/POSTN/ITGA7/LAMC1/THSD1/MYO1G/TLN1/ITGA11/EMILIN1/ITGAV/ITGB7/FBLN5/CDH11/CDH13/CCN1/ITGA9/COL8A1/CDKN2A/NOTCH1/RSU1/ITGB1/ADAMTS12/SPOCK1/DMP1/BCL2L11/MERTK/ANGPT1/FZD7/MMP14/ZYX/COL26A1/ITGA5/ALOX15/PDPN/SNED1/FBLN2/ADAMTS9/MELTF/ITGA2/EDIL3/EGFLAM/GREM1/AXL/FAM107A/ADAM9/NPNT/THBS3/EFNA1/ANTXR1/LIMS1/SEMA3E/PKHD1/HAS2/NDNF/CD34/FUT1/MYADM/PARVB/APOD/FLNA/COL13A1/PARVA/S100A10/EGFL6/VIT/STON1",121
"GO:0048568","embryonic organ development","138/2619","500/21261",9.72280339277746e-21,7.53274192855434e-18,5.40255246417095e-18,"DLX6/KCNQ1/FOXC1/PRDM1/COL11A1/CASP8/NTN1/FGFR2/PAX2/RARB/ITGA8/EDN1/MEF2C/TBX15/TGFB2/PCSK5/PDGFB/FGF9/FOXF1/EYA1/PPP1R13L/TGFB1/DLX5/COBL/RARRES2/ENG/GATA3/CDH23/NKX3-2/FOLR1/BMP5/MDFI/TFEB/PTK7/TBX18/PCDH12/EFEMP1/OTX1/TPO/DLX2/EPAS1/VAX2/PRRX1/KCNQ4/ECE1/PROX1/SATB2/TGFB3/PLS1/RDH10/TWIST1/SNAI1/RUNX2/WNT1/BMP4/SOX9/SIX1/KDR/LIF/RARA/EPHB2/MICAL2/GSC/APLNR/TBX3/HS6ST1/TFAP2A/FOXF2/TTPA/STRA6/SIX3/LBX1/RBP4/FBN2/COL2A1/FOXN4/CCN1/OSR1/CRB2/NOTCH1/ZEB1/ADM/ZIC1/DNAAF1/WNT3A/MMP14/KIT/GRHL3/WNT9B/PLCD3/TAL1/NEUROD1/FRZB/EN1/FZD5/EOMES/TGFBR2/CLRN1/SHH/EN2/CTHRC1/STOX1/FBN1/PBX3/CCDC103/SPINT2/RBPJ/GDNF/SHOX2/EFNA1/KRT8/SIX2/JUNB/CEBPB/RARG/CHRNA9/A2M/FOXC2/IRX5/FOXE1/TSHZ1/TH/TMIE/PHLDA2/NEUROG1/USH1G/NOG/FOXL2/SOCS3/HMX3/HMX2/PAX5/POU3F4/PDGFA/MFAP5/LHFPL5/TEAD4/LHX1",138
"GO:0001822","kidney development","105/2619","335/21261",1.91816094410375e-20,1.32097350350612e-17,9.47414463970777e-18,"CYP26B1/PLXND1/ITGA3/CRLF1/PROM1/TFAP2B/WWTR1/FOXC1/TRAF3IP2/PRDM1/FGFR2/NOTCH3/PAX2/RARB/ITGA8/TP73/COL4A4/MEF2C/LRP2/ANGPT2/TGFB2/CYP26A1/PCSK5/NRP1/PDGFB/EYA1/CALB1/SFRP1/GATA3/ACTA2/SIM1/PTK7/ACVR2B/NID1/PROX1/RDH10/SDC4/WNT1/BMP4/SOX9/BMP2/WNK4/SIX1/LIF/FOXJ1/LAMA5/RARA/SERPINF1/HMGCS2/WNT2B/EPHA7/TFAP2A/STRA6/PLCE1/FRAS1/ENPEP/IQGAP1/OSR1/SLIT2/ADAMTS16/CER1/NOTCH1/KIRREL3/BCL2L11/BMP6/HS3ST3A1/ANGPT1/GDF6/MYO1E/WNT9B/IL6R/KIF26B/TIPARP/KLF15/HEYL/HPGD/DACT2/SHH/RET/FBN1/SERPINB7/GREM1/NKX3-1/GDNF/NPNT/COL4A3/IRX2/SIX2/PKHD1/HAS2/LAMB2/CD34/FOXC2/GCNT4/IRX3/NOG/ROBO2/SULF2/PDGFA/SLC22A6/HES5/POU3F3/LGR4/FOXD1/LHX1",105
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","101/2619","324/21261",1.59252762554456e-19,9.87048622312517e-17,7.07920438176281e-17,"ITGA3/SELE/TENM1/CD6/CDH10/DSG2/CDH3/CELSR1/CDH7/PCDHA6/FAT2/FXYD5/ICAM1/TGFB2/PCDH11Y/CDH20/PCDH11X/CBLN1/CDH23/PTK7/PCDHB2/CDH9/PCDHB3/PCDHB15/CDH6/PCDH12/IGSF21/MYOT/BMP2/FGFRL1/PALLD/AJUBA/CNTN6/DSC1/CLDN10/CDH11/CDH13/NECTIN4/HMCN1/CNTN4/CDH18/TENM2/CRB2/HMCN2/CDHR1/TENM4/KIRREL3/MPZL2/ITGB1/CDH8/GRID2/SPARCL1/CDH12/ITGA5/NEXN/CLDN1/TGFBR2/CLDN19/RET/IL1RAPL1/DSCAM/CADM2/SLITRK1/MYADM/CADM1/CLDN5/CNTN2/CLDN6/ROBO2/SLITRK2/SELL/IL1RAP/PTPRT/FAT4/NTNG2/PCDHB11/PLXNB3/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA4/PCDHA2/PCDHA13/PCDHGC5/SCARF2/PCDHA11/PCDHA10/PCDHA12/PCDHGB6/PCDHGA6/PCDHGA8/PCDHGB2/PCDHGB7/PCDHGB1/PCDHGA3/PCDHA3/PCDHGA9/PCDHGA4/PCDHB16/PCDHGB5",101
