"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","97/2663","195/21059",1.46297616428485e-36,1.679496636599e-33,1.32437842240523e-33,"ANOS1/DCN/TNC/LTBP1/ELN/COL23A1/LAMA3/LAMC2/COL11A1/FBLN1/COL5A3/COL4A4/COL19A1/COL16A1/NID2/LTBP4/LAMB1/MXRA5/SRPX/TFPI2/PCOLCE/OGN/ASPN/COL1A1/VTN/VWF/MGP/COL12A1/LAMA4/SPARC/COL7A1/EFEMP1/NID1/ZP4/LTBP2/TECTB/TGFBI/FMOD/PXDN/COL5A1/LAMA5/MATN3/MATN2/CHI3L1/POSTN/COL4A2/LAMC1/EMILIN1/CILP/MMRN1/FBN2/COL2A1/FBLN5/MFGE8/COL6A2/HSPG2/CCN1/HMCN1/COL8A1/HAPLN1/HMCN2/MEPE/ACAN/IGFBP7/FBLN2/EDIL3/COL1A2/SBSPON/CTHRC1/FBN1/MFAP4/NPNT/COL4A3/THBS3/MUC3A/COL24A1/COL8A2/LAMB2/PODN/VWA1/BGN/COL4A1/AGRN/ZP3/COL25A1/PRELP/LAMA2/LAMB3/COL13A1/COL4A6/MFAP5/COL11A2/COL5A2/COL6A6/COLQ/COL28A1/SPON1",97
"GO:0050840","extracellular matrix binding","39/2663","56/21059",7.99198819220261e-23,4.5874012223243e-20,3.61742623436539e-20,"ITGA3/ITGA2B/DCN/ELN/COL11A1/GPC1/NTN4/ITGA6/LGALS1/SPOCK2/VTN/ADGRG6/SMOC2/SPARC/NID1/SPP1/TGFBI/PXDN/LGALS3/THSD1/ITGAV/CCN1/SLIT2/ITGB1/SPARCL1/DMP1/ADAMTS5/OLFML2B/FBLN2/ITGA2/SHH/ADAMTS15/ADAM9/LRRC15/SSC5D/BGN/OLFML2A/AGRN/ADGRG1",39
"GO:0005539","glycosaminoglycan binding","94/2663","273/21059",8.29233474764657e-21,3.17320009676609e-18,2.50224837999159e-18,"CFH/TENM1/ANOS1/DCN/CD44/COL23A1/LAMC2/COL11A1/FGFR2/TGFBR3/LXN/COL5A3/PTPRC/LTBP4/ADA2/NRP1/RSPO4/LIPG/FGF9/CEMIP/SFRP1/NOD1/PCOLCE/ECM2/ENG/SPOCK2/VTN/SOD3/MDK/SMOC2/SEMA5A/CCN2/PGF/LTBP2/CXCL6/BMP4/FGFRL1/TWSG1/APOE/COL5A1/BCAN/LGR6/POSTN/ADAMTS8/GPNMB/FGFBP1/FGF7/PCSK6/HAPLN3/CCN1/LRTM1/SLIT2/HAPLN1/RSPO2/HABP2/ADAMTS5/ADAMTS3/ACAN/NLRP3/FSTL1/TGFBR2/PCOLCE2/EGFLAM/SHH/ADAMTS15/FBN1/EVA1C/RSPO1/THBS3/CXCL10/CXCL11/AZU1/NDNF/SUSD5/LPL/GREM2/BGN/SLIT3/NELL2/ADAMTSL5/RTN4RL1/SLIT1/AGRN/SELL/COL25A1/PRELP/SULF2/ANXA6/COL13A1/COL11A2/VIT/ADGRG1/COLQ/COL28A1",94
"GO:0019838","growth factor binding","59/2663","150/21059",1.2962440614709e-16,3.72022045642147e-14,2.93360498122361e-14,"RHBDF1/LTBP1/FSTL4/GPC1/ERBB3/FGFR2/TGFBR3/EPHA8/LRP2/LTBP4/ITGA6/NRP1/PDGFB/GHRHR/ENG/COL1A1/IL10RA/ACVR2B/IL1R1/CCN2/LTBP2/TGFB3/FLT3/ACVR1C/FGFRL1/KDR/TWSG1/PXDN/COL5A1/ITGB4/IL6ST/EPHA7/IL11RA/IGFBPL1/FGFBP1/LRRC32/ITGAV/COL2A1/PCSK6/ERBB2/CCN1/OSMR/IGFBP3/CD109/KIT/SHC1/IL6R/IGFBP7/TGFBR2/COL1A2/HTRA1/LTBP3/WFIKKN2/HAP1/NRROS/A2M/SCN5A/COL4A1/PDGFA",59
"GO:0022836","gated channel activity","102/2663","355/21059",3.59773570111121e-16,8.26040116975133e-14,6.51379516411714e-14,"CFTR/ABCC8/GABRA1/KCNG1/KCNQ1/CNGB1/ASIC4/CACNG5/CHRNA3/KCNN2/CACNA1S/KCNK2/P2RX5/KCNH4/ITPR3/P2RX6/CHRNA4/GLRA2/KCND1/PIEZO1/TRPA1/KCNN4/SLC1A5/KCNN1/ASIC2/GABRA4/P2RX3/TMEM109/TRPV4/KCNA1/OPRM1/GABRG2/GRIN3B/KCNQ4/CHRNB4/CHRNA2/KCNJ2/KCNS1/KCNA5/ANO1/HTR1B/KCNK1/CLCA2/ITGAV/TMC6/CACNA1A/TRPM2/KCNN3/TRPM8/GLRA3/GABRA6/CHRNA6/HTR3B/CACNA1C/GABRA2/GRID2/GRIA4/KCNJ16/CACNA2D1/PIEZO2/GRIA1/KCNJ15/CACHD1/CLIC6/LRRC52/KCNJ3/GABRG1/KCNK5/KCNV1/KCNC2/CHRFAM7A/CATSPER2/SCN11A/KCNAB1/KCNK9/CLIC4/KCNAB3/CNGB3/KCNS3/CHRNA9/CHRNA7/GRIN1/SCN4B/ANO6/KCNA3/KCNA2/KCNG2/KCNE1/SCN5A/KCNH8/KCNQ3/KCND2/KCNH7/KCNJ11/GPR89B/TMEM63A/RYR1/SCN8A/ANXA6/CNGA1/GRIN3A/CLIC1",102
"GO:0008201","heparin binding","71/2663","206/21059",4.43246363277111e-16,8.48078041736873e-14,6.68757670909326e-14,"CFH/TENM1/ANOS1/COL23A1/LAMC2/COL11A1/FGFR2/TGFBR3/LXN/COL5A3/PTPRC/ADA2/NRP1/RSPO4/LIPG/FGF9/SFRP1/PCOLCE/ECM2/VTN/SOD3/MDK/SMOC2/CCN2/PGF/LTBP2/CXCL6/BMP4/FGFRL1/TWSG1/APOE/COL5A1/LGR6/POSTN/ADAMTS8/GPNMB/FGFBP1/FGF7/PCSK6/CCN1/LRTM1/SLIT2/RSPO2/ADAMTS5/ADAMTS3/FSTL1/PCOLCE2/ADAMTS15/FBN1/EVA1C/RSPO1/THBS3/CXCL10/CXCL11/AZU1/NDNF/LPL/GREM2/SLIT3/NELL2/ADAMTSL5/RTN4RL1/SLIT1/SELL/COL25A1/PRELP/COL13A1/COL11A2/ADGRG1/COLQ/COL28A1",71
"GO:0022839","monoatomic ion gated channel activity","101/2663","354/21059",8.39831121438501e-16,1.37732303915914e-13,1.08609739013099e-13,"CFTR/ABCC8/GABRA1/KCNG1/KCNQ1/CNGB1/ASIC4/CACNG5/CHRNA3/KCNN2/CACNA1S/KCNK2/P2RX5/KCNH4/ITPR3/P2RX6/CHRNA4/GLRA2/KCND1/PIEZO1/TRPA1/KCNN4/KCNN1/ASIC2/GABRA4/P2RX3/TMEM109/TRPV4/KCNA1/OPRM1/GABRG2/GRIN3B/KCNQ4/CHRNB4/CHRNA2/KCNJ2/KCNS1/KCNA5/ANO1/HTR1B/KCNK1/CLCA2/ITGAV/TMC6/CACNA1A/TRPM2/KCNN3/TRPM8/GLRA3/GABRA6/CHRNA6/HTR3B/CACNA1C/GABRA2/GRID2/GRIA4/KCNJ16/CACNA2D1/PIEZO2/GRIA1/KCNJ15/CACHD1/CLIC6/LRRC52/KCNJ3/GABRG1/KCNK5/KCNV1/KCNC2/CHRFAM7A/CATSPER2/SCN11A/KCNAB1/KCNK9/CLIC4/KCNAB3/CNGB3/KCNS3/CHRNA9/CHRNA7/GRIN1/SCN4B/ANO6/KCNA3/KCNA2/KCNG2/KCNE1/SCN5A/KCNH8/KCNQ3/KCND2/KCNH7/KCNJ11/GPR89B/TMEM63A/RYR1/SCN8A/ANXA6/CNGA1/GRIN3A/CLIC1",101
"GO:0005178","integrin binding","60/2663","170/21059",2.44942235163461e-14,3.51492107459566e-12,2.77171476632337e-12,"ITGA3/ITGA2B/CD9/IBSP/ACTN1/ACTN2/FBLN1/ITGA8/COL16A1/LTBP4/ICAM1/ITGA6/MYH9/ECM2/CXCL12/VTN/VWF/ITGA4/CCN2/SPP1/TGFBI/KDR/ACTN4/COL5A1/LAMA5/GFAP/ITGB4/ADAMTS8/ITGA7/LCP1/GPNMB/TLN1/ITGA11/EMILIN1/ITGAV/SEMA7A/ITGB7/FBLN5/MFGE8/CCN1/ITGA9/ITGB1/DMP1/PRKCA/JAM2/ADAMTS5/MMP14/F11R/ITGA5/ITGA2/EDIL3/FBN1/ADAM9/NPNT/COL4A3/LAMB2/CD151/ISG15/EGFL6/S1PR3",60
"GO:0005216","monoatomic ion channel activity","120/2663","481/21059",8.25138454663384e-14,1.05250993994841e-11,8.29963825743287e-12,"CFTR/ABCC8/GABRA1/KCNG1/KCNQ1/CNGB1/ASIC4/TRPC5/CACNG5/CHRNA3/KCNN2/CACNA1S/KCNK2/TRPM3/P2RX5/KCNH4/SLC17A6/ITPR3/P2RX6/APOL1/CHRNA4/GLRA2/KCND1/PIEZO1/TRPA1/KCNN4/SLC17A7/KCNN1/ASIC2/GABRA4/P2RX3/TMEM109/TRPV4/KCNA1/OPRM1/GABRG2/GRIN3B/KCNQ4/CHRNB4/TRPM6/CHRNA2/KCNJ2/KCNS1/BEST3/KCNA5/PKDREJ/ANO1/HTR1B/KCNK1/TTYH3/TRPC6/CLCA2/ITGAV/SLC24A4/TMC6/CACNA1A/TRPM2/KCNN3/TRPM8/GLRA3/GABRA6/CHRNA6/SLC26A7/HTR3B/CACNA1C/ANO4/GABRA2/GRID2/GRIA4/KCNJ16/CACNA2D1/PIEZO2/GRIA1/SLC24A2/KCNJ15/CACHD1/CLIC6/LRRC52/KCNJ3/GABRG1/KCNK5/KCNV1/KCNC2/CHRFAM7A/CATSPER2/SCN11A/KCNAB1/KCNK9/CLIC4/KCNAB3/CNGB3/KCNS3/CHRNA9/CHRNA7/GRIN1/SCN4B/ANO6/KCNA3/KCNA2/KCNG2/KCNE1/ANXA2/GJC1/SCN5A/KCNH8/KCNQ3/KCND2/KCNH7/SLC24A3/KCNJ11/GPR89B/SLC24A5/CALHM6/TMEM63A/RYR1/SCN8A/ANXA6/CNGA1/GRIN3A/CLIC1",120
"GO:0005261","monoatomic cation channel activity","94/2663","350/21059",4.47240812176547e-13,5.13432452378676e-11,4.04870629970348e-11,"ABCC8/KCNG1/KCNQ1/CNGB1/ASIC4/TRPC5/CACNG5/CHRNA3/KCNN2/CACNA1S/KCNK2/TRPM3/P2RX5/KCNH4/ITPR3/P2RX6/CHRNA4/KCND1/PIEZO1/TRPA1/KCNN4/KCNN1/ASIC2/P2RX3/TMEM109/TRPV4/KCNA1/OPRM1/GRIN3B/KCNQ4/CHRNB4/TRPM6/CHRNA2/KCNJ2/KCNS1/KCNA5/PKDREJ/ANO1/HTR1B/KCNK1/TRPC6/ITGAV/SLC24A4/CACNA1A/TRPM2/KCNN3/TRPM8/CHRNA6/HTR3B/CACNA1C/KCNJ16/CACNA2D1/PIEZO2/SLC24A2/KCNJ15/CACHD1/LRRC52/KCNJ3/KCNK5/KCNV1/KCNC2/CHRFAM7A/CATSPER2/SCN11A/KCNAB1/KCNK9/KCNAB3/CNGB3/KCNS3/CHRNA9/CHRNA7/GRIN1/SCN4B/ANO6/KCNA3/KCNA2/KCNG2/KCNE1/ANXA2/SCN5A/KCNH8/KCNQ3/KCND2/KCNH7/SLC24A3/KCNJ11/SLC24A5/CALHM6/TMEM63A/RYR1/SCN8A/ANXA6/CNGA1/GRIN3A",94
