Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Development_stage,disease_state,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR21190736,RNA-Seq,200,6404449800,PRJNA873113,SAMN30486799,4307437147,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",7 weeks,healthy,SRX17201812,L150P - gene corrected,DNBSEQ-G400,GSM6506956,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:47:00Z,2,GSM6506956,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190737,RNA-Seq,200,6609108400,PRJNA873113,SAMN30486800,4453542656,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",7 weeks,healthy,SRX17201811,L150P - gene corrected,DNBSEQ-G400,GSM6506955,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T05:59:00Z,2,GSM6506955,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190738,RNA-Seq,200,6385573000,PRJNA873113,SAMN30486801,4262753622,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",7 weeks,healthy,SRX17201810,L150P - gene corrected,DNBSEQ-G400,GSM6506954,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:16:00Z,2,GSM6506954,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190739,RNA-Seq,200,6116300400,PRJNA873113,SAMN30486802,4074346806,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",7 weeks,healthy,SRX17201809,L150P - gene corrected,DNBSEQ-G400,GSM6506953,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:02:00Z,2,GSM6506953,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190740,RNA-Seq,200,6897192200,PRJNA873113,SAMN30486803,4578899682,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",7 weeks,healthy,SRX17201808,L150P - gene corrected,DNBSEQ-G400,GSM6506952,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:19:00Z,2,GSM6506952,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190741,RNA-Seq,200,7599090400,PRJNA873113,SAMN30486804,5101307567,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",7 weeks,diseased,SRX17201807,L150P fAD,DNBSEQ-G400,GSM6506951,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:47:00Z,2,GSM6506951,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190742,RNA-Seq,200,5843965600,PRJNA873113,SAMN30486805,3904274232,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",7 weeks,diseased,SRX17201806,L150P fAD,DNBSEQ-G400,GSM6506950,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:03:00Z,2,GSM6506950,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190743,RNA-Seq,200,6143600000,PRJNA873113,SAMN30486806,4100185067,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",7 weeks,diseased,SRX17201805,L150P fAD,DNBSEQ-G400,GSM6506949,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T06:57:00Z,2,GSM6506949,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190744,RNA-Seq,200,5928153600,PRJNA873113,SAMN30486807,3982218858,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",7 weeks,diseased,SRX17201804,L150P fAD,DNBSEQ-G400,GSM6506948,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T09:01:00Z,2,GSM6506948,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190745,RNA-Seq,200,6116936400,PRJNA873113,SAMN30486808,4093052297,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",7 weeks,diseased,SRX17201803,L150P fAD,DNBSEQ-G400,GSM6506947,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T08:27:00Z,2,GSM6506947,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190746,RNA-Seq,200,7534857200,PRJNA873113,SAMN30486809,5040831389,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",7 weeks,healthy,SRX17201802,A79V - gene corrected,DNBSEQ-G400,GSM6506946,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T12:07:00Z,2,GSM6506946,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190747,RNA-Seq,200,6519678000,PRJNA873113,SAMN30486810,4363069116,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",7 weeks,healthy,SRX17201801,A79V - gene corrected,DNBSEQ-G400,GSM6506945,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T08:51:00Z,2,GSM6506945,hiPSC-derived glutamatergic cortical neurons,SRP393893
SRR21190748,RNA-Seq,200,6807562800,PRJNA873113,SAMN30486811,4576522790,hiPSC-derived glutamatergic cortical neurons,"RTH, VETERINARY AND ANIMAL SCIENCES, UNIVERSITY OF COPENHAGEN",public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",7 weeks,healthy,SRX17201800,A79V - gene corrected,DNBSEQ-G400,GSM6506944,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,DNBSEQ,2023-01-24T00:00:00Z,2023-09-01T12:18:00Z,2,GSM6506944,hiPSC-derived glutamatergic cortical neurons,SRP393893
